timestamp,latitude,longitude,vehicle_count,average_speed,weather,road_type,day_of_week,hour,is_weekend,is_holiday,congestion_score,congestion_level,co2_emissions
2026-06-15 23:54:50.783243,40.71261377922959,-74.00901644433462,34,52.0,Rainy,Arterial,0,23,0,False,16.492376611402026,Low,13.6
2026-06-16 03:42:50.783243,40.747528682798965,-73.98648775471077,16,39.0,Snowy,Local,1,3,0,False,25.278732582252577,Low,6.4
2026-07-02 05:47:50.783243,40.71051418600358,-74.00664206909626,21,59.0,Clear,Arterial,3,5,0,False,14.242192385711125,Low,8.4
2026-06-05 03:48:50.783243,40.75799904196512,-73.98553754062469,12,54.0,Clear,Highway,4,3,0,False,12.144208060071055,Low,4.8
2026-06-21 08:02:50.783243,40.74734331982443,-73.98776690895573,127,24.0,Clear,Highway,6,8,1,False,56.891195623200275,Medium,101.6
2026-07-03 07:56:50.783243,40.71312795747408,-74.00467735844158,122,39.0,Rainy,Local,4,7,0,False,41.59779290112165,Medium,97.6
2026-06-13 00:53:50.783243,40.707088785897646,-73.99338888049884,23,56.0,Clear,Local,5,0,1,False,15.869579748380069,Low,9.2
2026-06-19 18:42:50.783243,40.70508461699954,-73.99598248556674,243,22.0,Clear,Local,4,18,0,False,77.37724127533782,High,291.6
2026-06-08 16:17:50.783243,40.749295566969266,-73.9870445027747,67,24.0,Rainy,Arterial,0,16,0,False,46.82761817983519,Medium,53.6
2026-06-29 11:41:50.783243,40.75583336546727,-73.9834957786707,86,32.0,Clear,Highway,0,11,0,False,42.421179395622026,Medium,68.8
2026-06-10 15:49:50.783243,40.75939933866073,-73.98717107553641,62,22.0,Rainy,Highway,2,15,0,False,45.169658436033785,Medium,49.6
2026-07-03 20:42:50.783243,40.71161611250695,-74.00488443307434,53,34.0,Clear,Arterial,4,20,0,False,35.39329541113403,Medium,42.4
2026-06-16 06:37:50.783243,40.74696698033292,-73.98632214695161,77,31.0,Clear,Highway,1,6,0,False,41.8770857408536,Medium,61.6
